Second,Millisecond,Depth,Rate (CPM),Release Velocity (MM/S),Valid/Invalid
82,517,3.426,100,475,Valid
83,149,4.267,98,181,Valid
83,749,5.857,98,282,Valid
84,333,6.551,102,334,Valid
84,909,6.444,98,352,Valid
85,525,6.276,100,281,Valid
86,134,6.281,96,309,Valid
86,750,6.193,98,285,Valid
87,342,6.226,101,304,Valid
87,942,6.304,100,315,Valid
88,534,6.426,101,320,Valid
89,118,6.449,102,315,Valid
89,726,6.314,98,278,Valid
90,326,6.543,98,342,Valid
90,942,6.472,98,305,Valid
91,566,6.462,96,318,Valid
92,190,6.929,94,382,Valid
92,766,7.272,105,373,Valid
93,358,7.45,101,339,Valid
93,934,7.386,104,338,Valid
94,502,7.394,107,337,Valid
95,62,7.452,104,381,Valid
95,655,7.249,104,315,Valid
96,223,7.181,104,333,Valid
96,799,7.429,104,339,Valid
97,383,7.511,102,359,Valid
97,959,7.435,105,318,Valid
98,527,7.546,105,343,Valid
99,127,7.739,98,403,Valid
99,711,7.551,102,349,Valid
100,295,7.564,102,368,Valid
100,863,7.478,105,355,Valid
101,431,7.508,105,359,Valid
101,983,7.59,108,355,Valid
102,543,7.927,108,381,Valid
103,119,8.082,101,421,Valid
103,695,8.026,105,383,Valid
104,231,8.105,111,412,Valid
104,815,8.425,102,424,Valid
105,368,8.212,110,359,Valid
105,920,8.158,108,372,Valid
106,480,7.973,105,358,Valid
107,48,7.795,107,360,Valid
107,600,8.049,107,399,Valid
108,160,8.131,107,407,Valid
108,704,8.158,110,402,Valid
109,264,8.113,107,361,Valid
109,816,7.869,108,346,Valid
110,376,8.021,107,393,Valid
110,936,8.138,107,388,Valid
111,512,8.158,104,390,Valid
112,88,8.125,104,374,Valid
112,656,8.087,105,391,Valid
113,224,8.019,105,374,Valid
113,768,7.894,111,350,Valid
114,329,8.123,104,404,Valid
114,889,8.141,108,405,Valid
115,457,8.153,107,385,Valid
116,25,8.1,104,398,Valid
116,609,8.092,101,407,Valid
117,169,7.996,108,377,Valid
117,721,8.118,108,403,Valid
118,281,8.164,107,399,Valid
118,841,8.057,107,366,Valid
119,401,8.136,107,389,Valid
119,977,8.344,102,442,Valid
120,561,8.458,104,400,Valid
